key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
efc5f883-823f-5693-8928-c0b38dd30ea6,1915-04-12,0,South Atlantic,,Columbus,3,,Albany,4,,,1:29,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 13, 1915",0,0,0,0,0,0,0,0,3,,,,,,0,0,0,0,0,0,0,1,3,,,,,
d571985e-214a-5d80-9a85-555ff603c220,1915-04-12,0,South Atlantic,,Augusta,18,,Columbia,3,,2645,,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 13, 1915",0,3,1,0,4,0,3,4,3,,,,,,0,0,0,0,1,0,0,0,2,,,,,
07fbd1ab-2cdf-5d8c-b35a-2736e42498fb,1915-04-12,0,South Atlantic,,Macon,5,,Jacksonville,10,,,2:02,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 13, 1915",0,0,0,0,3,1,0,0,1,,,,,,0,0,0,2,2,1,4,1,x,,,,,
259b6651-92df-5512-8f62-bf58bd0cc199,1915-04-12,0,South Atlantic,,Charleston,7,,Savannah,4,,,2:45,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 13, 1915",0,0,2,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,2,0,0,0,0,0,0
a6e1f08c-1050-5068-aec5-392d281e0a41,1915-04-13,0,South Atlantic,,Columbus,4,,Albany,12,,,1:50,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 14, 1915",0,0,0,0,1,0,1,1,1,,,,,,0,1,4,2,0,0,0,5,x,,,,,
7e5f88cf-f9d1-5071-84b9-c29a06be28f4,1915-04-13,0,South Atlantic,,Augusta,11,,Columbia,1,,,2:08,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 14, 1915",0,1,0,0,4,5,0,0,1,,,,,,0,0,0,0,0,0,0,0,1,,,,,
d204b784-1557-5906-8842-c5a1eb388494,1915-04-13,0,South Atlantic,,Macon,5,,Jacksonville,4,,,1:54,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 14, 1915",2,0,2,1,0,0,0,0,0,,,,,,2,0,1,0,1,0,0,0,0,,,,,
d885c7de-d6d1-561c-a448-b6507c12c5d5,1915-04-13,0,South Atlantic,,Charleston,2,,Savannah,3,,,1:55,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 14, 1915",2,0,0,0,0,0,0,0,0,,,,,,0,1,1,0,0,0,0,0,1,,,,,
67b82079-2b9b-5e93-b038-cf388f71981e,1915-04-14,0,South Atlantic,,Columbus,5,,Albany,2,,,,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 15, 1915",0,0,0,0,0,2,3,0,0,,,,,,0,0,1,0,0,0,1,0,0,,,,,
79bd948e-5824-57e6-966c-a75ac2845d6e,1915-04-14,0,South Atlantic,,Augusta,0,,Columbia,19,,,2:01,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 15, 1915",0,0,0,0,0,0,0,0,0,,,,,,3,3,2,8,1,2,0,0,x,,,,,
e6207c6d-5050-5ca5-9f98-ed8fc14f18c2,1915-04-14,0,South Atlantic,,Macon,7,,Jacksonville,6,,,1:546,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 15, 1915",4,0,0,0,2,0,1,0,0,,,,,,1,0,0,0,2,0,0,1,2,,,,,
4855ef3a-4c16-524d-9296-1010c8e91bdc,1915-04-14,0,South Atlantic,,Charleston,3,,Savannah,2,,,1:30,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 15, 1915",0,0,3,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,2,0,,,,,
7b8e86ae-15d0-537d-9658-55e72bb6cca9,1915-04-15,0,South Atlantic,,Jacksonville,1,,Albany,7,,,,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 16, 1915",0,0,0,0,0,1,0,0,0,,,,,,1,0,2,0,0,4,0,0,0,,,,,
f25b5d9f-abf0-5c86-8084-b90f1a8fe907,1915-04-15,0,South Atlantic,,Savannah,3,,Augusta,0,,,1:16,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 16, 1915",0,0,0,0,0,0,2,0,1,,,,,,0,0,0,0,0,0,0,0,0,,,,,
93166b42-65c4-5674-af32-564272019d70,1915-04-15,0,South Atlantic,,Columbia,0,,Charleston,5,,,1:45,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 16, 1915",0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,3,0,0,2,x,,,,,
584b5700-174c-5a31-86fb-2aa550912974,1915-04-15,0,South Atlantic,,Columbus,4,,Macon,5,,,1:35,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 16, 1915",0,0,3,0,0,1,0,0,0,,,,,,2,1,0,0,0,0,0,0,2,,,,,
33d069b9-ac4c-5951-a254-efa3d5dc6924,1915-04-16,0,South Atlantic,,Jacksonville,3,,Albany,6,,,,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 17, 1915",0,0,2,0,0,0,0,0,1,,,,,,1,1,1,0,0,1,2,0,0,,,,,
69dc90aa-78c7-50d9-8075-501b480fa04c,1915-04-16,0,South Atlantic,,Savannah,7,,Augusta,3,,,1:47,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 17, 1915",1,0,0,0,2,0,0,4,0,,,,,,1,0,0,2,0,0,0,0,0,,,,,
c668e4ff-3a9e-5315-abaf-4f4ea32ca68a,1915-04-16,0,South Atlantic,,Columbia,3,,Charleston,0,,,1:38,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 17, 1915",0,0,0,0,0,0,0,1,2,,,,,,0,0,0,0,0,0,0,0,0,,,,,
f7bcca73-bdd2-5c0f-a723-7086ace499f8,1915-04-16,0,South Atlantic,,Columbus,8,,Macon,16,,,2:20,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 17, 1915",0,2,0,1,3,1,0,1,0,,,,,,7,2,0,0,0,3,4,0,x,,,,,
d049709f-7481-58cf-b8e3-8d091f6f693a,1915-04-17,0,South Atlantic,,Jacksonville,5,,Albany,9,,,,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 18, 1915",1,1,1,0,0,1,0,1,0,,,,,,3,0,5,0,0,0,0,1,x,,,,,
6a4bf2f4-848b-51b1-afbf-571e678ad164,1915-04-17,0,South Atlantic,,Savannah,5,,Augusta,6,,,2:14,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 18, 1915",0,3,0,0,0,2,0,0,0,0,0,,,,3,1,0,0,0,0,0,1,0,0,1,,,
0d3d60a6-8853-5bcf-bcd6-ffbea30ecf2f,1915-04-17,0,South Atlantic,,Columbia,1,,Charleston,7,,,1:25,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 18, 1915",0,0,0,0,0,0,1,0,0,,,,,,0,2,1,0,2,0,0,2,x,,,,,
654c0703-af63-5c77-8ab3-6619c31770c6,1915-04-17,0,South Atlantic,,Columbus,5,,Macon,6,,,2:03,,,,transcript/1915/1915-CS/boxes/CS-19150412.txt,"Columbia State, April 18, 1915",1,1,2,0,1,0,0,0,0,,,,,,0,1,1,0,0,1,0,0,3,,,,,
87c608b1-e2b5-5f72-8839-314e8b55cbff,1915-04-19,0,South Atlantic,,Augusta,6,,Charleston,0,,,1:35,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 20, 1915",0,0,0,0,0,0,2,2,2,,,,,,0,0,0,0,0,0,0,0,0,,,,,
dca6c185-5d31-5377-b625-7bd3a37777c8,1915-04-19,0,South Atlantic,,Savannah,2,,Columbia,7,,,1:45,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 20, 1915",0,2,0,0,0,0,0,0,0,,,,,,2,0,0,0,0,1,0,4,x,,,,,
f83be90d-3e1a-5d73-9b35-4511a127af61,1915-04-19,0,South Atlantic,,Jacksonville,1,,Columbus,5,,,1:50,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 20, 1915",0,1,0,0,0,0,0,0,0,,,,,,0,3,0,0,1,1,0,0,x,,,,,
79c2f5cd-83df-572a-990c-a7a1eb4ef0fb,1915-04-19,0,South Atlantic,,Albany,3,,Macon,1,,,1:39,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 20, 1915",0,0,1,0,0,0,0,2,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,
af0258fe-89bf-5292-9b08-b692a085076c,1915-04-20,0,South Atlantic,,Augusta,1,,Charleston,3,,,1:32,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 21, 1915",0,0,0,0,1,0,0,0,0,,,,,,0,0,0,0,0,3,0,0,x,,,,,
439d0b80-5c51-5b78-8ba6-631e76cf5002,1915-04-20,0,South Atlantic,,Savannah,0,,Columbia,2,,,1:15,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 21, 1915",0,0,0,0,0,0,0,0,0,,,,,,2,0,0,0,0,0,0,0,x,,,,,
9a84a4f0-ae2a-51e6-857e-36f99d79acd4,1915-04-20,0,South Atlantic,,Jacksonville,2,,Columbus,10,,,2:00,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 21, 1915",0,0,0,0,0,1,0,1,0,,,,,,6,0,0,0,4,0,0,0,x,,,,,
2d84d251-68e7-5f64-b649-acb0b3050903,1915-04-20,0,South Atlantic,,Albany,8,,Macon,7,,,2:02,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 21, 1915",0,0,0,1,5,0,0,0,2,,,,,,1,0,1,0,1,1,1,2,0,,,,,
51e665df-2aff-5a6f-8254-9c1061195a2c,1915-04-21,0,South Atlantic,,Augusta,1,,Charleston,2,,,1:45,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 22, 1915",0,0,0,0,0,0,1,0,0,0,,,,,0,0,0,0,0,0,0,1,0,1,,,,
f8d484b7-71a3-5c8d-b86c-9087aedaf1d6,1915-04-21,0,South Atlantic,,Savannah,8,,Columbia,2,,,1:40,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 22, 1915",1,4,0,1,1,0,0,0,1,,,,,,0,0,1,0,0,0,0,1,0,,,,,
b8458ad0-4cb6-5f3d-abcb-c585663df7d2,1915-04-21,0,South Atlantic,,Jacksonville,6,,Columbus,0,,,,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 22, 1915",2,0,2,1,0,1,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
fea2b993-6ccd-50b0-9543-fb951dc94944,1915-04-21,0,South Atlantic,,Albany,4,,Macon,10,,,1:41,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 22, 1915",0,0,0,1,0,0,0,0,3,,,,,,3,0,0,1,0,0,6,0,x,,,,,
f80c34e1-e169-5f9b-8fb1-190bb1aa8555,1915-04-22,0,South Atlantic,,Macon,2,,Albany,5,,,,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 23, 1915",0,1,0,0,0,0,1,0,0,,,,,,1,0,0,1,0,1,1,1,x,,,,,
b400cbd9-b5af-563f-a9fe-2820ce4395b0,1915-04-22,0,South Atlantic,,Charleston,8,,Columbia,7,,,2:30,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 23, 1915",3,0,1,0,0,0,4,0,0,,,,,,1,0,2,3,0,1,0,0,0,,,,,
761ddb1e-512f-5333-8c03-96a79fef8014,1915-04-22,0,South Atlantic,,Columbus,7,,Jacksonville,5,,,2:08,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 23, 1915",0,0,1,0,1,0,1,2,0,0,2,,,,3,0,0,1,0,0,0,1,0,0,0,,,
d8d6414a-d28f-5d12-9764-8509a3b0c542,1915-04-22,0,South Atlantic,,Augusta,3,,Savannah,9,,,1:35,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 23, 1915",0,0,0,0,0,2,0,1,0,,,,,,2,2,0,2,1,2,0,0,x,,,,,
b956eee1-c06c-5c99-8dbe-8b698f916ef8,1915-04-23,0,South Atlantic,,Macon,8,,Albany,2,,,,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 24, 1915",1,3,0,0,0,4,0,0,0,,,,,,2,0,0,0,0,0,0,0,0,,,,,
11ddae16-c071-5086-a848-0d85114b4947,1915-04-23,0,South Atlantic,,Charleston,3,,Columbia,4,,,1:48,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 24, 1915",2,0,0,0,0,0,0,0,1,,,,,,0,0,1,0,0,1,0,0,2,,,,,
108dfbba-1ff2-521f-8738-075aa35f2b76,1915-04-23,0,South Atlantic,,Columbus,3,,Jacksonville,2,,,1:57,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 24, 1915",1,0,0,0,0,0,0,0,1,1,,,,,1,0,0,0,0,0,0,0,1,0,,,,
4949f26b-b5ab-5435-8382-6022db50b3da,1915-04-23,0,South Atlantic,,Augusta,0,,Savannah,9,,,1:25,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 24, 1915",0,0,0,0,0,0,0,0,0,,,,,,0,0,3,1,1,0,4,0,x,,,,,
29205f6f-6db3-53e6-b80e-c747e04243bd,1915-04-24,0,South Atlantic,,Macon,2,,Albany,5,,,,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 25, 1915",0,0,2,0,0,0,0,0,0,,,,,,0,0,0,0,0,1,3,1,x,,,,,
08d6dc9c-66f4-5370-93a5-c3ad3859d1a3,1915-04-24,0,South Atlantic,,Charleston,7,,Columbia,4,,,1:40,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 25, 1915",3,0,0,0,0,0,0,3,1,,,,,,0,0,0,0,0,2,1,0,1,,,,,
90d45b19-faa5-542d-9c1f-63ddce3bc2af,1915-04-24,0,South Atlantic,,Columbus,3,,Jacksonville,4,,,1:52,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 25, 1915",0,0,2,0,1,0,0,0,0,,,,,,0,0,0,2,0,0,1,0,1,,,,,
373086a9-7772-57d0-ad51-d29ad66fa1c2,1915-04-24,0,South Atlantic,,Augusta,1,,Savannah,4,,,1:30,,,,transcript/1915/1915-CS/boxes/CS-19150419.txt,"Columbia State, April 25, 1915",1,0,0,0,0,0,0,0,0,,,,,,3,0,1,0,0,0,0,0,x,,,,,
